# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 1811 3 3713 2081 13513435 3 ./34/disk/PFADI/FLILIETP.DRW
DUPTYPE_WITHIN_SAME_TREE -1811 3 3713 2081 13513886 3 ./84/disk/PFADI/FLILIETP.DRW
DUPTYPE_WITHIN_SAME_TREE -1811 3 3713 2081 13513961 3 ./86/disk/PFADI/FLILIETP.DRW
DUPTYPE_FIRST_OCCURRENCE 2208 4 3761 2081 13512994 3 ./14/disk/2001/November/17.txt
DUPTYPE_WITHIN_SAME_TREE -2208 4 3761 2081 13513028 3 ./15/disk/2001/November/17.txt
DUPTYPE_FIRST_OCCURRENCE 2212 4 3798 2081 13512987 3 ./14/disk/2001/November/22.txt
DUPTYPE_WITHIN_SAME_TREE -2212 4 3798 2081 13513018 3 ./15/disk/2001/November/22.txt
DUPTYPE_FIRST_OCCURRENCE 1609 3 3859 2081 13515507 3 ./214/disk/LODERUNN.ER!/LODE.DOC
DUPTYPE_WITHIN_SAME_TREE -1609 3 3859 2081 13515557 3 ./215/disk/LODERUNN.ER!/LODE.DOC
DUPTYPE_FIRST_OCCURRENCE 1133 2 3872 2081 13510617 3 ./8/disk/README.TXT
DUPTYPE_WITHIN_SAME_TREE -1133 2 3872 2081 13512567 3 ./9/disk/README.TXT
DUPTYPE_FIRST_OCCURRENCE 2209 4 4032 2081 13512995 3 ./14/disk/2001/November/18.txt
DUPTYPE_WITHIN_SAME_TREE -2209 4 4032 2081 13513029 3 ./15/disk/2001/November/18.txt
DUPTYPE_FIRST_OCCURRENCE 1827 3 4083 2081 13513426 3 ./34/disk/PFADI/PFADI5.XLS
DUPTYPE_WITHIN_SAME_TREE -1827 3 4083 2081 13513952 3 ./86/disk/PFADI/PFADI5.XLS
DUPTYPE_FIRST_OCCURRENCE 1289 3 4096 2081 13514457 3 ./115/disk/.Trashes/._501
DUPTYPE_WITHIN_SAME_TREE -1289 3 4096 2081 13513543 3 ./48/disk/.Trashes/._501
DUPTYPE_WITHIN_SAME_TREE -1289 3 4096 2081 13513807 3 ./68/disk/.Trashes/._501
DUPTYPE_FIRST_OCCURRENCE 169 2 4096 2081 13514454 3 ./115/disk/._.Trashes
DUPTYPE_WITHIN_SAME_TREE -169 2 4096 2081 13514287 3 ./165/disk/._.Trashes
DUPTYPE_WITHIN_SAME_TREE -169 2 4096 2081 13513540 3 ./48/disk/._.Trashes
DUPTYPE_WITHIN_SAME_TREE -169 2 4096 2081 13513803 3 ./68/disk/._.Trashes
DUPTYPE_FIRST_OCCURRENCE 1176 2 4102 2081 13514065 3 ./91/disk/WITZ.SAM
DUPTYPE_WITHIN_SAME_TREE -1176 3 4102 2081 13515309 3 ./202/disk/SCHULE/WITZ.SAM
DUPTYPE_FIRST_OCCURRENCE 2206 4 4284 2081 13512992 3 ./14/disk/2001/November/11.txt
DUPTYPE_WITHIN_SAME_TREE -2206 4 4284 2081 13513024 3 ./15/disk/2001/November/11.txt
DUPTYPE_FIRST_OCCURRENCE 2215 4 4299 2081 13512979 3 ./14/disk/2001/Oktober/03.txt
DUPTYPE_WITHIN_SAME_TREE -2215 4 4299 2081 13513814 3 ./68/disk/2001/Oktober/03.txt
DUPTYPE_WITHIN_SAME_TREE -2215 4 4299 2081 13513010 3 ./15/disk/2001/Oktober/03.txt
DUPTYPE_FIRST_OCCURRENCE 1823 3 4373 2081 13513427 3 ./34/disk/PFADI/PFADI.XLS
